,A,Prob
387,0,0.9109031927850072
219,1,0.7395890361085591
298,1,0.7935274978219301
325,0,0.85185328295266
357,0,0.07691769760589658
405,1,0.950709882364189
375,0,0.43309158027727424
459,0,0.3799770701691767
445,1,0.08204534435579917
388,0,0.14136140798052613
386,1,0.8616302009528352
205,0,0.1892246218295801
417,0,0.07997070366838015
274,1,0.8780826667881577
299,1,0.8788507672343606
363,1,0.8522876125412572
32,1,0.8590445485499384
409,1,0.681392542523365
461,0,0.048938422295972714
339,0,0.7231019795840984
453,1,0.920334123163977
295,0,0.024920081100073873
441,0,0.5935125044039451
79,1,0.1886965388342455
483,1,0.9022261393046542
247,1,0.8380457804907717
447,0,0.7535035143843871
355,0,0.8043210957727543
167,0,0.3737987204698607
497,1,0.998417234908374
39,1,0.6739657008691098
154,0,0.03165664964140651
334,1,0.9448385032983739
316,1,0.9473686577303926
275,0,0.038849580749287016
72,1,0.8987996834680327
400,0,0.685915519947385
51,0,0.5453078391923569
490,1,0.473157560843591
438,0,0.5256241618516778
231,0,0.3974519737763097
197,0,0.2795461725204361
146,0,0.33975134579117106
230,1,0.950709882364189
307,1,0.8916553118591966
256,1,0.2846017440101761
84,0,0.058163934615564544
478,1,0.8266360839785145
332,0,0.5475475674881752
317,1,0.9535536823926373
2,1,0.8866015379337965
436,1,0.5270180505070673
133,0,0.8028469492054272
271,0,0.3538887045004412
407,0,0.2875805837832021
431,1,0.5794174522948454
266,1,0.7767804061985222
213,1,0.952044182157741
261,1,0.9380843966481759
292,1,0.7303791737342658
486,0,0.24343224576419836
494,0,0.09362688594456532
11,1,0.9093843263140591
135,1,0.6568253281260891
426,1,0.9207430925906925
129,0,0.24934726561319143
191,1,0.9515729523045884
155,1,0.8035662085145001
462,0,0.2348293301904992
466,0,0.25274547851873136
392,0,0.06714919863184927
31,1,0.9426516230728865
442,1,0.21831549503453196
480,1,0.9065431235793444
98,0,0.1861486481943074
58,1,0.17487382772521948
238,0,0.4844220754195672
38,0,0.2683446966227603
137,1,0.8365282284330401
68,0,0.15124301713828647
454,1,0.9598878048238338
351,1,0.8212036515100041
207,1,0.9210887661136695
412,1,0.84002134845336
188,1,0.840663919090289
59,1,0.3716858607706102
25,1,0.9578882263214701
365,1,0.7511777097709155
27,1,0.9180647862092033
353,1,0.8771445736883935
200,0,0.4153239435394844
251,0,0.5227107599645106
367,0,0.17749707777105894
73,0,0.07870909479497468
35,0,0.04143648264127
71,1,0.06313953267628879
54,0,0.21119333948188157
434,1,0.9514739989481539
273,1,0.9588838519896157
218,0,0.4246411396822515
136,1,0.7328302424171295
463,0,0.5588385632211411
49,0,0.03995521029624679
7,0,0.1388653537120771
344,1,0.5973495285389017
320,0,0.2795461725204361
250,0,0.19188870013508513
179,0,0.34429174466912116
364,1,0.8640181444509407
113,0,0.17149151201802967
383,0,0.04152177512185224
19,1,0.1403647896098663
411,1,0.7221420068872216
324,1,0.13737937562737665
86,0,0.06534228128707538
408,1,0.8789084464415977
488,0,0.09512529128827606
272,1,0.946866072824811
21,0,0.07368144568120283
471,0,0.28157158504286794
371,0,0.591209936202753
485,0,0.28671114989128743
42,1,0.8055290991141956
268,0,0.40025269164445637
64,1,0.7346930823766317
52,1,0.09328903956525346
192,0,0.3533291338524097
29,1,0.42276260412527095
429,0,0.4004451575117816
376,0,0.689466574881943
110,1,0.7173774581834799
242,1,0.927677300203581
287,0,0.03500844996395991
201,0,0.35467698639493406
36,1,0.928421094278172
455,0,0.7807122243243023
57,1,0.9558540492957244
126,0,0.5820558621445278
56,0,0.24026532580449228
330,0,0.4975607117287655
300,1,0.9495267430539467
210,0,0.032960066114689525
211,1,0.08329435479305054
158,0,0.3123342657823826
212,1,0.665983002483427
97,0,0.14187774856457888
115,1,0.9328882223858669
169,1,0.8290973654204586
413,1,0.34537376752777377
177,0,0.14340429487610817
